Address,CityOrCounty,State,Month,Day ,Year,Latitude,Longitude,StateAbr
5021 W St Hwy 107,Edinburg,Texas,4,17,2016,26.3155841,-98.16371369,TX
9500 block of Oakland,Detroit,Michigan,4,16,2016,41.93132091,-83.3292499,MI
1100 block of Conley Street,Orlando,Florida,4,16,2016,28.4158857,-81.2987497,FL
Baxter Street,Enterprise,Alabama,4,16,2016,31.32839931,-85.84570109,AL
76th and Sheridan,Milwaukee,Wisconsin,4,10,2016,43.0641114,-87.96721631,WI
84th Street and Towne Avenue,Los Angeles,California,4,10,2016,34.10482229,-118.4110473,CA
Mt Moriah Road and Ridgeway Road,Memphis,Tennessee,4,9,2016,35.10520292,-89.97735447,TN
West 15th Street and Crawford Avenue,Anniston,Alabama,4,9,2016,33.67036113,-85.81483829,AL
2600 block of Mesa Drive SE,Albuquerque,New Mexico,4,9,2016,35.1055517,-106.6473884,NM
2200 block of East 70th Place,Chicago,Illinois,4,7,2016,41.83861021,-87.68661087,IL
6800 block of South Throop,Chicago (Englewood),Illinois,3,31,2016,40.10756121,-89.1611563,IL
4500 block of West West End Avenue,Chicago,Illinois,3,25,2016,41.83861021,-87.68661087,IL
8501 E. Alameda Avenue,Denver,Colorado,3,25,2016,39.76144202,-104.8767568,CO
5700 block of West Washington Boulevard,Chicago,Illinois,3,21,2016,41.83861021,-87.68661087,IL
12050 NW 4th Court,Plantation,Florida,3,19,2016,26.12505023,-80.30958119,FL
South Shelby Street,Wetumpka,Alabama,3,19,2016,32.53986326,-86.20516556,AL
Donald Lee Hollowell Drive,Atlanta,Georgia,3,15,2016,33.76265247,-84.4231419,GA
50 South Road,Fort Myers,Florida,3,13,2016,26.5764774,-81.8596035,FL
16126 S.E. Stark St.,Portland,Oregon,3,12,2016,45.5371811,-122.6499872,OR
Interstate 880,Oakland,California,3,12,2016,37.77108878,-122.2249767,CA
2600 block of Hazelwood,Detroit,Michigan,3,11,2016,42.38402073,-83.10165683,MI
Oliver Avenue,Trenton,New Jersey,3,11,2016,40.223729,-74.76399433,NJ
1304 Franklin Ave,Pittsburgh,Pennsylvania,3,9,2016,40.43946574,-79.97631573,PA
Sherman St,San Antonio,Texas,3,8,2016,31.53834907,-99.6497468,TX
800 block of Martin Luther King Jr. Drive,Lafayette,Louisiana,3,7,2016,30.2115732,-92.0313942,LA
3000 block of South 36th Street,Kansas City,Kansas,3,7,2016,38.49058144,-98.35318177,KS
120 Washington Avenue,Chelsea,Massachusetts,3,6,2016,42.39589704,-71.03248695,MA
890 Atlanta St,Roswell,Georgia,3,6,2016,34.0227879,-84.3618405,GA
900 block of West Victoria Street,Compton,California,3,6,2016,33.89316026,-118.2256332,CA
116 North Mead,Wichita,Kansas,3,5,2016,37.6906938,-97.3426776,KS
900 E 5th Ave,Columbus,Ohio,3,4,2016,39.98637561,-82.98059198,OH
8800 block of Livernois,Detroit,Michigan,2,28,2016,41.93132091,-83.3292499,MI
5500 block of Etiwanda Avenue,Riverside (Jurupa Valley),California,2,28,2016,37.24004903,-119.5032355,CA
13051 Lashmere Ct,Woodbridge (Lake Ridge),Virginia,2,27,2016,38.6696252,-77.3536249,VA
300 block of Horseshoe Rd.,Belfair,Washington,2,26,2016,47.45120372,-122.8473332,WA
200 S Ridge Rd,Hesston,Kansas,2,25,2016,38.1403696,-97.42166417,KS
4812 West Sunnyside Ave,Glendale,Arizona,2,23,2016,33.56725245,-112.2827261,AZ
1042 Sheridan Road,Daytona Beach,Florida,2,23,2016,29.209006,-81.0447524,FL
Interstate Highway 270 and North Lindbergh Boulevard,Hazelwood,Missouri,2,21,2016,38.79319756,-90.39014601,MO
5100 block of Idaho Street,Houston,Texas,2,21,2016,29.7804724,-95.3863425,TX
2810 E. Bearss Ave,Tampa,Florida,2,20,2016,27.96800236,-82.4763859,FL
5581 Cracker Barrel Blvd,Kalamazoo,Michigan,2,20,2016,42.27491205,-85.58815842,MI
231 Co Rd 201,Iuka,Mississippi,2,20,2016,34.80772715,-88.19780629,MS
200 block of Elm Street,Bessemer,Alabama,2,20,2016,33.37122308,-86.96888469,AL
446 S Parramore Ave,Orlando,Florida,2,20,2016,28.5366497,-81.3891156,FL
4100 block of Buena Vista Road,Edgerton,Missouri,2,19,2016,39.50218559,-94.62899419,MO
509 Porter Street,Vallejo,California,2,19,2016,38.0882826,-122.245532,CA
8449 Gulf Freeway,Houston,Texas,2,14,2016,29.7804724,-95.3863425,TX
Earnest Friday Road,Eutaw (Union),Alabama,2,14,2016,32.63501642,-86.80937931,AL
5425 Lapalco Boulevard,Marrero,Louisiana,2,13,2016,30.8956711,-91.67752985,LA
Davis Avenue,Pass Christian,Mississippi,2,7,2016,30.31886569,-89.23891501,MS
7432 Universal Blvd,Orlando,Florida,2,7,2016,28.455337,-81.4648862,FL
547 State St,Rochester,New York,2,7,2016,43.164023,-77.6232616,NY
6500 block of South Green Street,Chicago (Englewood),Illinois,2,7,2016,40.10756121,-89.1611563,IL
12800 block of Cook Street,Los Angeles,California,2,6,2016,34.10482229,-118.4110473,CA
10th Street,Apopka,Florida,2,6,2016,28.14683286,-83.20422736,FL
8123 N Nebraska Ave,Tampa,Florida,2,6,2016,27.96800236,-82.4763859,FL
1500 block of Butler St. SE,Washington,District of Columbia,2,3,2016,38.90477236,-77.01628888,DC
67th and Missouri Avenue,Glendale,Arizona,1,30,2016,33.56725245,-112.2827261,AZ
1401 N. George Washington Hwy,Chesapeake,Virginia,1,27,2016,36.7906509,-76.330292,VA
Airport Way S. and S. Atlantic St.,Seattle,Washington,1,26,2016,47.62024593,-122.3506866,WA
140 S. D Street,Perris,California,1,25,2016,33.7846706,-117.2286482,CA
8105 Avalon Blvd,Los Angeles,California,1,23,2016,34.10482229,-118.4110473,CA
Ditchley Road and Gill Lane,Ware Neck (Gloucester Courthouse),Virginia,1,17,2016,37.64882817,-78.70157159,VA
900 block of Brown Street,Wilmington,Delaware,1,11,2016,39.06278721,-75.43669486,DE
1700 East Capitol Street Northeast,Washington,District of Columbia,1,8,2016,38.8904101,-76.9796866,DC
1500 block of South Kedzie,Chicago,Illinois,1,8,2016,41.83861021,-87.68661087,IL
3800 block of Kerwood Avenue,Memphis,Tennessee,1,7,2016,35.10520292,-89.97735447,TN
2312 East Magnolia Street,Lakeland,Florida,1,6,2016,27.9572212,-81.94959571,FL
13000 block of Anchor Village,Clearlake Oaks,California,10,23,2017,39.02190323,-122.6591908,CA
Wethersfield Avenue and Elliott Street,Hartford,Connecticut,10,22,2017,41.76607064,-72.68340124,CT
1606 19th St Sw,Lanett,Alabama,10,22,2017,32.85787653,-85.20770186,AL
164 E Eubanks St,Jacksonville,Florida,10,21,2017,30.4846944,-81.6221989,FL
1277 12th Ave S,Nashville,Tennessee,10,21,2017,36.1412702,-86.7885589,TN
1200 block of W Carlas Ln,Chester,Pennsylvania,10,21,2017,39.84562785,-75.37183417,PA
400 Block of E Nordica St,Tampa,Florida,10,21,2017,27.96800236,-82.4763859,FL
2111 Emmorton Park Rd,Edgewood,Maryland,10,18,2017,39.4520149,-76.3099932,MD
181 Martense St,Brooklyn,New York,10,17,2017,40.63439283,-73.95026864,NY
5th Street,Meridian,Mississippi,10,16,2017,32.38453325,-88.68968173,MS
6233 Gulfton St,Houston,Texas,10,15,2017,29.7804724,-95.3863425,TX
107th Ave and Camelback Rd,Phoenix,Arizona,10,15,2017,33.5721625,-112.0879662,AZ
6 Asbury Ct,Aliso Viejo,California,10,12,2017,33.57793525,-117.7299521,CA
15497 SR 93,Pedro,Ohio,10,11,2017,40.42858964,-82.70242359,OH
25th St and Treat Ave,San Francisco,California,10,10,2017,37.75971499,-122.6939756,CA
3352 Old Spanish Trail,Houston,Texas,10,9,2017,29.70117735,-95.37216179,TX
87th Ave and Thomas Rd,Phoenix,Arizona,10,7,2017,33.5721625,-112.0879662,AZ
8000 block of S Marshfield,Chicago,Illinois,10,6,2017,41.83861021,-87.68661087,IL
400 block of W 13th Street,Casa Grande,Arizona,10,5,2017,34.31047454,-111.7691584,AZ
2051 NW 65th St,Miami,Florida,10,3,2017,25.77525637,-80.20885121,FL
1000 block of Massachusetts St,Lawrence,Kansas,10,1,2017,38.95989376,-95.26268699,KS
3950 Las Vegas Blvd S,Las Vegas,Nevada,10,1,2017,36.23168002,-115.068118,NV
800 block of Kerr Avenue,Memphis,Tennessee,9,30,2017,35.10520292,-89.97735447,TN
2001 N Rocheblave St,New Orleans,Louisiana,9,28,2017,29.9815149,-90.0648263,LA
2531 Chelsea Ave,Memphis,Tennessee,9,26,2017,35.1742161,-89.972807,TN
3200 block of Lyndale Ave,Baltimore,Maryland,9,26,2017,39.30097988,-76.61064805,MD
100 block of Pastorius St,Philadelphia,Pennsylvania,9,26,2017,40.00763806,-75.1339627,PA
500 block of E. Patapsco Avenue,Baltimore,Maryland,9,24,2017,39.23545018,-76.63677351,MD
6000 block of Hoover Dr,Mays Landing,New Jersey,9,24,2017,39.45272733,-74.72389835,NJ
3890 Pin Hook Rd,Antioch,Tennessee,9,24,2017,35.85185663,-86.27777991,TN
1226 E Fayette St,Syracuse,New York,9,24,2017,42.6687355,-75.44096178,NY
Seminary St and Jackson St,Danville,Illinois,9,23,2017,40.14209413,-87.61195,IL
818 Real Rd,Bakersfield,California,9,23,2017,35.3657621,-119.0430392,CA
4300 block of 23rd Ct,Gary,Indiana,9,20,2017,41.59560282,-87.3452059,IN
5000 block of Stanton Street,Detroit,Michigan,9,17,2017,41.93132091,-83.3292499,MI
300 Mistletoe St,Petersburg,Virginia,9,17,2017,37.2041781,-77.39145148,VA
920 Lady Street,Columbia,South Carolina,9,16,2017,34.0297833,-80.8965664,SC
14626 S Jackson Rd,Rockford,Washington,9,13,2017,47.51952797,-117.1970879,WA
400 block of S Duke St,York,Pennsylvania,9,13,2017,39.96510038,-76.73153121,PA
3100 block of N 2nd St,Philadelphia,Pennsylvania,9,13,2017,40.00763806,-75.1339627,PA
1000 block of Morehead St,Memphis,Tennessee,9,13,2017,35.10520292,-89.97735447,TN
2101 N Claiborne Ave,New Orleans,Louisiana,9,10,2017,29.9736897,-90.0583597,LA
1712 West Spring Creek Parkway,Plano,Texas,9,10,2017,33.0565222,-96.7275987,TX
Kings Bend Road,Selma,Alabama,9,9,2017,32.41659706,-87.03358936,AL
2700 block of Madison,Chicago,Illinois,9,6,2017,41.83861021,-87.68661087,IL
1000 block of Bellwood Ave,Bellwood,Illinois,9,4,2017,41.8829027,-87.87617179,IL
10100 block of S Firmona Ave,Inglewood,California,9,3,2017,33.95657481,-118.3444449,CA
8008 Watterson Trail,Louisville,Kentucky,9,2,2017,38.1780769,-85.6667077,KY
8300 block of S Hermitage,Chicago,Illinois,9,2,2017,41.83861021,-87.68661087,IL
701 N Main St,Clovis,New Mexico,8,28,2017,34.43718771,-103.1915911,NM
7760 24th St,Sacramento,California,8,27,2017,38.56663215,-121.4682998,CA
1127 Chestnut St,Evansville,Indiana,8,27,2017,37.98671582,-87.53827073,IN
1600 NE 8th Ave,Gainesville,Florida,8,25,2017,29.68181393,-82.34535799,FL
10400 block of Balmoral Dr,Saint Louis,Missouri,8,24,2017,38.30885939,-92.50820581,MO
300 block of N Central Ave,Chicago,Illinois,8,22,2017,41.83861021,-87.68661087,IL
Fabyan Place,Newark,New Jersey,8,21,2017,40.72417185,-74.17242155,NJ
700 block of S 19th St,Newark,New Jersey,8,21,2017,40.72417185,-74.17242155,NJ
Cottage Avenue and Park Heights Avenue,Baltimore,Maryland,8,21,2017,39.23545018,-76.63677351,MD
980 Fishing Creek Rd,Whitakers,North Carolina,8,21,2017,36.10574633,-77.71308725,NC
262 Decatur St,Memphis,Tennessee,8,21,2017,35.1471495,-90.0259674,TN
11901 S Loomis St,Chicago,Illinois,8,20,2017,41.83861021,-87.68661087,IL
100th St and Ave M,Brooklyn,New York,8,20,2017,40.63439283,-73.95026864,NY
11143 Superior Ave,Cleveland,Ohio,8,19,2017,41.5226399,-81.60758,OH
Merritt Ave and 15th St,Wyandanch,New York,8,16,2017,40.74674088,-73.37693842,NY
Morrison St and Klump Ave,North Hollywood,California,8,14,2017,37.24004903,-119.5032355,CA
4000 Block of Martin Luther King Jr Blvd,Sacramento,California,8,13,2017,38.56663215,-121.4682998,CA
8700 block of Quay Rd,Suffolk,Virginia,8,13,2017,36.70178203,-76.63409891,VA
39th St and Melon St,Philadelphia,Pennsylvania,8,13,2017,40.00763806,-75.1339627,PA
12310 Bellefontaine Rd,Saint Louis,Missouri,8,12,2017,38.7964818,-90.2124474,MO
1 block of East 37th Street,Chicago,Illinois,8,8,2017,41.83861021,-87.68661087,IL
Wickham Ave,Bronx,New York,8,6,2017,40.84911597,-73.85295233,NY
Unionport Rd,Bronx,New York,8,6,2017,40.84911597,-73.85295233,NY
1000 block of 106th Avenue,Oakland,California,8,6,2017,37.77108878,-122.2249767,CA
900 block of Brook Road,Lakewood,New Jersey,8,5,2017,40.09425254,-74.21175994,NJ
300 block of Ellis St,Allendale,South Carolina,8,5,2017,33.00804698,-81.30916418,SC
1939 W Tennessee St,Tallahassee,Florida,8,5,2017,30.45489511,-84.25264599,FL
200 block of North Helen Street,Lodge Grass,Montana,8,4,2017,46.91471155,-109.7498422,MT
3426 18th St NE,Washington,District of Columbia,8,3,2017,38.9327427,-76.9799763,DC
900 block of N Broadway,Baltimore,Maryland,8,2,2017,39.30097988,-76.61064805,MD
8000 Block of Lateral C Rd,Toppenish,Washington,8,1,2017,46.38055516,-120.312477,WA
Mariposa St and A St,Fresno,California,8,1,2017,36.7826736,-119.794492,CA
800 block of N Monticello Ave,Chicago,Illinois,8,1,2017,41.83861021,-87.68661087,IL
Jasper St and Main St,Decatur,Illinois,7,31,2017,39.85565673,-88.93382251,IL
1500 block of Azalea Garden Rd,Norfolk,Virginia,7,30,2017,36.92334179,-76.24561422,VA
1810 George Dieter Dr,El Paso,Texas,7,30,2017,31.8491633,-106.4326601,TX
200 block of Carl St,Buffalo,New York,7,29,2017,42.89225205,-78.85941404,NY
115 W Fisher St,Salisbury,North Carolina,7,29,2017,35.6668266,-80.4716035,NC
400 block of N Washington St,Wilmington,Delaware,7,28,2017,39.06278721,-75.43669486,DE
2000 block of E 71st St,Chicago,Illinois,7,27,2017,41.83861021,-87.68661087,IL
2111 E. Green Drive,High Point,North Carolina,7,26,2017,35.95333118,-79.98085054,NC
1500 block of East 82nd St,Chicago,Illinois,7,23,2017,41.83861021,-87.68661087,IL
10360 Ave H,Baton Rouge,Louisiana,7,23,2017,30.53854345,-91.19707601,LA
130 E Clifton Ave,Cincinnati,Ohio,7,22,2017,39.11601104,-84.51427555,OH
2300 block of Bethel St,Richmond,Virginia,7,19,2017,37.64882817,-78.70157159,VA
Imperial Hwy and Broadway,Los Angeles,California,7,19,2017,34.10482229,-118.4110473,CA
Hewitt St and Division St,Trenton,New Jersey,7,18,2017,40.223729,-74.76399433,NJ
3000 Block of N 39th St,Milwaukee,Wisconsin,7,18,2017,43.0641114,-87.96721631,WI
NW Grand Ave and W Thunderbird Rd,El Mirage,Arizona,7,18,2017,33.59030434,-112.3269728,AZ
21st and Fitzwater,Philadelphia,Pennsylvania,7,15,2017,40.00763806,-75.1339627,PA
12200 block of S Throop St,Chicago,Illinois,7,15,2017,41.83861021,-87.68661087,IL
500 block Sturgeon Rd,Lawrenceville,Virginia,7,9,2017,36.75650138,-77.85387344,VA
700 block of Oakwood,Alton,Illinois,7,8,2017,38.90330408,-90.15232955,IL
9917 Capstan Dr,Cincinnati,Ohio,7,8,2017,39.14291321,-84.50366914,OH
Eighth Ave,Meridian,Mississippi,7,6,2017,32.54859599,-88.60914336,MS
Jefferson Street and West St. Julian Street,Savannah,Georgia,7,5,2017,32.02831938,-81.17815866,GA
11000 block of S Eberhart,Chicago (Roseland),Illinois,7,5,2017,40.10756121,-89.1611563,IL
300 block of Russell Rd,Madison,Maine,7,5,2017,44.80031154,-69.86554362,ME
501 W Lancaster Rd,Orlando (Pine Castle),Florida,7,4,2017,28.14683286,-83.20422736,FL
500 block of Patterson Ave,Hampton,Virginia,7,4,2017,37.04872093,-76.29536561,VA
105 E South St,Raleigh,North Carolina,7,4,2017,35.8302035,-78.6414394,NC
112 US 82,Prattville,Alabama,7,3,2017,32.4622348,-86.4612644,AL
50 block of Thorpe St,Pontiac,Michigan,7,3,2017,42.64932157,-83.28780622,MI
Wilkinson Avenue,Jersey City,New Jersey,7,2,2017,40.12272985,-74.70346139,NJ
SC 72 Bypass,Greenwood,South Carolina,7,2,2017,34.19353047,-82.15404856,SC
2727 S 13000 Rd E,Momence,Illinois,7,1,2017,40.10756121,-89.1611563,IL
Lincoln Park and Pennsylvania Avenue,Newark,New Jersey,7,1,2017,40.72417185,-74.17242155,NJ
3200 Humboldt Ave,Oakland,California,7,1,2017,37.77108878,-122.2249767,CA
220 W 6th St,Little Rock,Arkansas,7,1,2017,34.7435693,-92.2731947,AR
1650 Grand Concourse,Bronx,New York,6,30,2017,40.84911597,-73.85295233,NY
200 block of S Lotus,Chicago,Illinois,6,27,2017,41.83861021,-87.68661087,IL
5900 block of Southern Ave SE,Washington,District of Columbia,6,25,2017,38.90477236,-77.01628888,DC
5000 block of Thekla Ave,Saint Louis,Missouri,6,25,2017,38.30885939,-92.50820581,MO
2335 NW 16th Ct,Fort Lauderdale,Florida,6,24,2017,26.14083882,-80.1436977,FL
114th St and Manhattan Ave,New York (Manhattan),New York,6,24,2017,42.6687355,-75.44096178,NY
Pastoral Lane,Willingboro,New Jersey,6,24,2017,40.02804204,-74.88813539,NJ
1100 block of Osborne Street,Atlanta,Georgia,6,22,2017,33.76265247,-84.4231419,GA
1900 block of N 14th St,Saint Louis,Missouri,6,18,2017,38.30885939,-92.50820581,MO
3100 block of Buena Vista Terrace SE,Washington,District of Columbia,6,18,2017,38.90477236,-77.01628888,DC
3300 block of W Crystal,Chicago,Illinois,6,18,2017,41.83861021,-87.68661087,IL
311 N Ocean Blvd,Myrtle Beach,South Carolina,6,18,2017,33.6866518,-78.8853832,SC
6252 Busch Blvd,Columbus,Ohio,6,17,2017,40.91903272,-84.05946017,OH
1 block of North Latrobe,Chicago,Illinois,6,17,2017,41.83861021,-87.68661087,IL
491 NM 111,La Madera,New Mexico,6,15,2017,36.38081236,-106.0420054,NM
4053 Old Brook Road,Richmond,Virginia,6,15,2017,37.64882817,-78.70157159,VA
14th St. NE and Gibbs Ave. NE,Canton,Ohio,6,14,2017,40.80815745,-81.36806196,OH
420 E Monroe Ave,Alexandria,Virginia,6,14,2017,38.8211006,-77.0543053,VA
720 San Bruno,San Francisco,California,6,14,2017,37.75971499,-122.6939756,CA
3300 block of Ayrdale Avenue,Baltimore,Maryland,6,13,2017,39.30097988,-76.61064805,MD
1200 block of Bonaparte Avenue,Baltimore,Maryland,6,13,2017,39.30097988,-76.61064805,MD
Ferguson Ave and Plymouth Ave,Saint Louis (University City),Missouri,6,13,2017,38.30885939,-92.50820581,MO
3300 block of W Douglas Blvd,Chicago,Illinois,6,11,2017,41.83861021,-87.68661087,IL
4272 Bonny Oaks Drive,Chattanooga,Tennessee,6,11,2017,35.0804834,-85.2139137,TN
505 Cypress Station Dr,Houston,Texas,6,11,2017,30.03065027,-95.43701769,TX
571 East Street,Memphis,Tennessee,6,10,2017,35.1313422,-90.0314538,TN
East Davis Avenue and New York Avenue,Fort Worth,Texas,6,9,2017,32.7795423,-97.3463354,TX
3650 Franklin Ave,New Orleans,Louisiana,6,8,2017,29.9965681,-90.0500205,LA
2232 Alta Canyon Drive,Sandy,Utah,6,6,2017,40.5715632,-111.8522856,UT
2427 Forsyth Rd,Orlando,Florida,6,5,2017,28.4158857,-81.2987497,FL
1600 Block of Union Blvd,Saint Louis,Missouri,6,3,2017,38.30885939,-92.50820581,MO
3717 Tulane Ave,New Orleans,Louisiana,6,3,2017,29.96692473,-90.10152319,LA
5301 McPherson Rd,Laredo,Texas,6,2,2017,27.54797743,-99.48684236,TX
89th St and Broadway,Los Angeles,California,6,2,2017,34.10482229,-118.4110473,CA
Beacon Ave and Lillian Ave,Saint Louis,Missouri,6,1,2017,38.30885939,-92.50820581,MO
1200 Elliott Dr,Middletown,Ohio,5,30,2017,39.50324345,-84.36587572,OH
231 Witherspoon St,Louisville,Kentucky,5,29,2017,38.1780769,-85.6667077,KY
100 block of 6th Street South,Phenix City,Alabama,5,28,2017,32.4616695,-85.0250208,AL
86 Main Street,Paterson,New Jersey,5,28,2017,40.92881636,-74.16794643,NJ
6103 Hwy. 63,Moss Point,Mississippi,5,28,2017,30.42404368,-88.52887061,MS
318 W 14th St,New York (Manhattan),New York,5,27,2017,42.6687355,-75.44096178,NY
100 block of Q Street Northwest,Washington,District of Columbia,5,27,2017,38.90477236,-77.01628888,DC
2871 Lee Drive,Bogue Chitto,Mississippi,5,27,2017,32.60010548,-89.72682633,MS
2730 NW 167th St,Miami,Florida,5,26,2017,25.77525637,-80.20885121,FL
4300 Beaver Dr,Des Moines,Iowa,5,21,2017,41.6386437,-93.6789624,IA
441 N Val Vista Dr,Mesa,Arizona,5,21,2017,33.4238734,-111.7524867,AZ
2100 block of W Huntingdon St,Philadelphia,Pennsylvania,5,20,2017,40.00763806,-75.1339627,PA
21785 Lowcountry Hwy,Ruffin,South Carolina,5,16,2017,33.85416558,-80.90959195,SC
311 S Main St,Jonesboro,Arkansas,5,14,2017,35.82081215,-90.67949917,AR
14112 Chicago Road,Dolton,Illinois,5,14,2017,41.62836967,-87.59787695,IL
Hal McRae Blvd and Delaney Ave,Avon Park,Florida,5,14,2017,27.59893511,-81.51042965,FL
8600 block of Calmont Ave,Fort Worth,Texas,5,14,2017,32.7795423,-97.3463354,TX
300 block of Centre St,Trenton,New Jersey,5,10,2017,40.223729,-74.76399433,NJ
1900 block of S. Boeke,Kansas City,Kansas,5,9,2017,38.49058144,-98.35318177,KS
2600 block of 46th Pl,Chicago,Illinois,5,7,2017,41.83861021,-87.68661087,IL
600 block of Copeman Boulevard,Flint,Michigan,5,4,2017,43.02363394,-83.69206403,MI
1566 West 24th Street,Jacksonville,Florida,5,2,2017,30.3585335,-81.6820297,FL
3200 block of Reynolds Ave,Dallas,Texas,5,1,2017,32.79464486,-96.76633721,TX
4104 SW 28th,Topeka,Kansas,4,30,2017,39.0161071,-95.72802765,KS
1200 Ken Knight Dr N,Jacksonville,Florida,4,30,2017,30.27926997,-81.37452585,FL
268 N Sea Green Rd,Loris,South Carolina,4,30,2017,34.0574721,-78.88771748,SC
9080 Judicial Dr,San Diego,California,4,30,2017,32.81689046,-117.1333353,CA
12800 block of Kitchen House Way,Germantown,Maryland,4,29,2017,38.96206028,-77.00581636,MD
Murchison St and Lancaster Ave,Los Angeles (Boyle Heights),California,4,29,2017,37.24004903,-119.5032355,CA
3800 block of 26th Avenue,Sacramento,California,4,29,2017,38.56663215,-121.4682998,CA
10000 block of Carmentia Rd,Whittier,California,4,29,2017,33.96785668,-118.0188036,CA
2000 Block of N Nestor Ave,Compton,California,4,29,2017,33.89316026,-118.2256332,CA
200 block of 18th St,Virginia Beach,Virginia,4,29,2017,36.77783612,-76.01637024,VA
5 E 21st St,Chester,Pennsylvania,4,28,2017,40.89023896,-78.22929368,PA
1100 block of S Orange Ave,Newark,New Jersey,4,27,2017,40.72417185,-74.17242155,NJ
SW 264th St and 139th Ave,Miami,Florida,4,26,2017,25.77525637,-80.20885121,FL
2500 block of Vernon Dr,Palm Bay,Florida,4,21,2017,27.98605927,-80.66280174,FL
700 block of East Jacob Street,Louisville,Kentucky,4,20,2017,38.1780769,-85.6667077,KY
110 Calhoun Street,Vallejo,California,4,16,2017,38.1206275,-122.2666295,CA
611 S Martin St,Elizabeth City,North Carolina,4,16,2017,36.2942645,-76.2216531,NC
1710 Cleveland Av,Columbus,Ohio,4,16,2017,40.0008289,-82.9750344,OH
311 W  2nd St,Rock Falls,Illinois,4,15,2017,41.77330813,-89.69241657,IL
300 block of S Meridian St,Indianapolis,Indiana,4,15,2017,39.77710046,-86.14634767,IN
1480 Center Point Pkwy,Birmingham,Alabama,4,15,2017,32.63501642,-86.80937931,AL
5900 block of Hammond Street,Philadelphia,Pennsylvania,4,15,2017,40.00763806,-75.1339627,PA
14600 block of Myrtle Avenue,Harvey,Illinois,4,15,2017,41.60744719,-87.65228045,IL
900 block of N Allen St,Banning,California,4,15,2017,37.24004903,-119.5032355,CA
30 Anderson Ave SW,Atlanta,Georgia,4,13,2017,33.76265247,-84.4231419,GA
3100 block of Fidelia Drive,San Antonio,Texas,4,9,2017,31.53834907,-99.6497468,TX
9439 Lima Rd,Fort Wayne,Indiana,4,9,2017,41.08849204,-85.14358989,IN
1423 29th Ave Dr NE,Hickory,North Carolina,4,7,2017,35.7672474,-81.3047341,NC
3829 Mount Pleasant St,Houston,Texas,4,7,2017,29.7804724,-95.3863425,TX
1600 block of English St,Saint Paul,Minnesota,4,7,2017,46.36813604,-93.71317296,MN
5600 block of W Lake St,Chicago,Illinois,4,7,2017,41.83861021,-87.68661087,IL
2000 block of Tulip St,Lake Charles,Louisiana,4,6,2017,30.8956711,-91.67752985,LA
1100 block of W Stiles St,Philadelphia,Pennsylvania,4,3,2017,40.00763806,-75.1339627,PA
5401 Ave Q,Lubbock,Texas,4,3,2017,33.56662511,-101.8863357,TX
3500 block of West Van Buren Street,Chicago,Illinois,4,2,2017,41.83861021,-87.68661087,IL
2500 Martin Luther King Jr. Parkway,Des Moines,Iowa,4,2,2017,41.6168992,-93.6472858,IA
100 block of Madoline Street,Pittsburg,California,4,1,2017,38.01897413,-121.8970719,CA
219 S Howard Ave,Tampa,Florida,4,1,2017,27.96800236,-82.4763859,FL
1200 block of N Woodward Avenue,Oklahoma City,Oklahoma,4,1,2017,35.46760197,-97.51913834,OK
2704 E 75th St,Chicago,Illinois,3,30,2017,41.83861021,-87.68661087,IL
209 Hays Dr,Sanford,Florida,3,27,2017,28.7893022,-81.2817058,FL
5619 Aldine Bender Rd,Houston,Texas,3,26,2017,29.7804724,-95.3863425,TX
4601 Kellogg Ave,Cincinnati,Ohio,3,26,2017,39.0930526,-84.4283679,OH
E 75th St,Cleveland,Ohio,3,26,2017,41.47926574,-81.68021483,OH
8443 Grand River Ave,Detroit,Michigan,3,25,2017,41.93132091,-83.3292499,MI
Minnesota Avenue,Knoxville,Tennessee,3,25,2017,35.9708752,-83.9464787,TN
E 79th St and Woodland Ave,Cleveland,Ohio,3,25,2017,41.51121521,-81.56356397,OH
300 block of South Villa Avenue,Fresno,California,3,24,2017,36.7826736,-119.794492,CA
5100 block of Palm St,Saint Louis,Missouri,3,24,2017,38.30885939,-92.50820581,MO
1133 E Grand Ave,Rothschild,Wisconsin,3,22,2017,44.87608278,-89.61725267,WI
1512 Portland Avenue,Louisville,Kentucky,3,19,2017,38.2620287,-85.774895,KY
16000 block of Rutherford,Detroit,Michigan,3,18,2017,41.93132091,-83.3292499,MI
2508 Pasadena Ave,Metairie,Louisiana,3,15,2017,29.99764022,-90.17804761,LA
123 E 51st St,Chicago,Illinois,3,10,2017,41.83861021,-87.68661087,IL
4200 block of Touro St,New Orleans (Gentilly),Louisiana,3,10,2017,30.8956711,-91.67752985,LA
West 76th Street and South May streets,Chicago,Illinois,3,7,2017,41.83861021,-87.68661087,IL
600 block of 32nd Street,Columbus,Georgia,3,5,2017,32.5099615,-84.87704106,GA
23rd and Bellview,Topeka,Kansas,3,4,2017,39.03580584,-95.6956385,KS
2500 block of 33rd St,Sacramento,California,3,4,2017,38.56663215,-121.4682998,CA
7165 Germantown Ave,Philadelphia,Pennsylvania,3,3,2017,40.06018752,-75.19067107,PA
8300 block of Trey Ave,Riverside,California,3,3,2017,33.93812516,-117.3948458,CA
1700 of Casey Drive,Cincinnati,Ohio,2,28,2017,39.14291321,-84.50366914,OH
